Item Code,Case Weight,Cases Shipped,Cases Damaged
014292,19.43,1882,0
014321,33.34,2983,0
014322,12,94,0
014375,33.5,908,0
014376,33.5,4844,0
014389,31.8,2382,1
014394,41.5,4076,0
014450,19.6,3706,7
014486,33.6,349,0
014516,35.28,16246,1
014517,32.32,7073,0
014518,32.06,713,0
014527,15.7,2474,0
014562,13,48,0
014575,21,58,0
014582,34,661,0
014585,17,5,0
014598,16.36,363,0
014605,32,101,0
014619,12.5,22,0
014648,29.13,3344,2
014649,60,217,0
014650,40,532,0
014654,22,2897,0
014665,34.4,1259,0
014667,20.5,400,0
014668,20.5,737,0
014669,5.25,2739,0
014670,10.25,2716,1
014718,28,1011,0
014719,33,368,0
014860,14.24,236,1
014883,6,162,0
014884,35.79,429,0
014896,17.07,2604,0
014906,14.74,1151,0
014907,14.74,426,0
014938,14.1,7356,36
014972,33.6,320,0
015000,16.25,10047,0
015062,5.15,43,0
015064,11,2065,1
015065,19,1132,0
015066,9,60,0
015067,22,1598,0
015068,6,362,0
015070,36,1280,0
015253,17.5,1920,0
015258,40.4,1186,15
015262,36,1125,1
015265,49,2237,0
015266,27,2768,0
015268,19.05,991,0
015269,26.75,1611,0
015270,28.8,1620,0
015272,41.72,2600,0
015277,14.8,1250,0
015278,4.47,223,0
015303,12.57,372,0
015309,22,2407,0
015312,11.39,472,0
015313,8.76,841,0
015314,13.34,28,0
015318,25,1933,0
015327,17.39,785,0
015330,9,1349,0
015355,11.2,334,0
015357,11.6,1151,0
015369,9.01,2351,0
015391,21.84,1889,0
015392,19.95,2546,0
015393,28.5,1870,0
015394,14.33,2146,0
015442,34.5,2165,0
015455,19.46,711,0
015482,11,11,0
015543,10.7,1134,0
015544,10.6,2184,0
015545,9.92,5398,0
015551,15.3,19,0
015612,20.66,711,0
015645,12.5,1053,0
015646,18.6,646,0
015649,35,0,0
015693,7.1,21,0
015694,50.2,125,0
015803,18.6,114,0
015816,39,582,0
015820,20.75,1375,0
015837,31.65,5947,0
015840,26.31,942,0
015841,18.6,1085,0
015848,5.15,103,0
015849,8.59,117,0
015874,13,1928,0
015875,23.2,1182,0
015878,22.6,4,0
015898,12.19,283,0
015899,12.7,53,0
015900,12.4,238,0
015901,12.67,101,0
015937,9.9,202,0
015973,16,2007,0
015974,6.6,982,0
015985,6.39,395,0
016037,32.04,113,0
016075,29,2,0
016077,21,1000,1
016144,12.37,219,0
016173,6.29,220,0
016215,44.48,12,0
016308,12.52,1707,0
016339,23,1612,0
016355,26.4,1,0
016359,21,860,0
016389,17.45,809,0
016396,25.5,5858,2
016454,13.06,1471,0
016455,5.5,449,0
016456,5.3,1720,0
016516,27.42,2529,0
016585,37.3,2405,0
016587,20.9,79,0
016601,8.71,191,0
016602,5.81,29,0
016603,5.81,140,0
016604,12.81,399,0
016605,10.75,1,0
016621,48.35,3791,0
016776,42.89,-1,0
016808,5.69,370,0
016810,3.07,195,0
016813,7.94,162,0
016842,10.85,81,0
016881,26,1,0
016882,43.93,9751,0
016902,5.67,154,0
016941,25.89,43,0
016946,46.42,3872,0
017007,19.75,377,0
017009,8.11,74,0
017021,33.83,5671,0
017043,10.03,1731,0
017071,16,51,0
017072,31.5,21,0
017130,3,321,0
017379,31,1493,0
017466,16.99,293,0
017480,13,0,0
017497,10.8,18,0
017517,8.8,134,0
017518,16,145,0
017528,24.8,3422,0
017556,11,519,1
017625,9.39,70,0
017629,6.19,68,0
017641,10.8,11,0
017768,10.28,129,0
017874,33,412,0
017875,18,71,0
017881,25.5,64,1
017887,7.55,912,0
017890,39.03,583,3
017900,21,7,0
017905,6.84,79,0
017935,16.27,3196,1
017954,37.88,151,0
017969,16,155,1
017970,16,65,0
017971,16,183,1
017999,27.3,12,0
018000,29.7,53,0
018001,40.3,222,0
018002,45,20,0
018003,27.6,6,0
018004,40.3,4,0
018005,10.75,120,0
018007,16.13,4348,0
018018,36.04,1197,1
018048,32,2,0
018049,20,56,0
018053,15.2,40,0
018054,13.5,1879,0
018096,42,2196,0
018119,31.75,418,0
018143,11,67,0
018196,20.15,257,0
018225,15,316,0
018237,51.3,287,0
018238,51.3,421,0
018309,1.09,15,0
018369,9.55,51,0
018370,9.55,81,0
018371,9.55,115,0
018512,24.7,1439,0
018513,24.7,1275,0
018523,11,807,0
018599,12,696,0
018601,27.81,2,0
018617,21,50,0
018624,42,107,0
018625,14.1,41,0
018626,13.5,60,0
018627,14.1,22,0
018628,8.05,56,0
018629,11,23,0
018630,5.2,129,0
018631,7.6,36,0
018632,17,47,0
018633,24,35,0
018634,38.1,77,0
018647,10.5,1587,1
018662,1,66,1
018664,14.75,2537,0
018665,15.05,4259,1
018788,11,366,0
018789,21,4972,1
018834,13.29,198,0
018879,5.6,8,0
018924,23,2423,0
018928,21,57,0
019014,14.7,415,0
019039,18.7,26,0
019040,22.87,364,0
019074,17.39,980,0
019173,31.5,479,0
019198,1.69,65,0
019200,7.4,39,0
019202,5.11,1,0
019203,6.7,21,0
019205,14.67,2860,0
019208,31.7,2004,0
019209,29.36,7850,0
019210,27.65,9692,0
019211,16.27,300,0
019213,42.22,1080,0
019223,8,115,0
019261,50,100,0
019328,19.63,469,0
019357,21.94,90,0
019375,5.8,224,0
019517,21.36,2788,0
019518,33,1772,0
019519,21,2056,0
019520,33.9,473,0
019536,15,2850,0
019540,10.79,17,0
019541,41.5,11839,0
019556,47.76,2054,0
019561,42.95,41,0
019562,3,824,0
019607,44.5,879,0
019611,23,531,0
019679,6.55,15,0
019680,15.67,2499,0
019681,15.67,1007,0
019682,15.67,1811,0
019683,15.67,1225,0
019701,35.37,70,2
019731,41.59,179,0
019732,41.59,142,0
019770,37.4,1225,0
019781,23.66,104,0
019784,26.1,28,0
019789,9.3,0,0
019799,36,2448,0
019814,10.56,37,0
019815,12,85,0
019840,6,76,0
019942,10.8,2928,0
019945,19.5,12083,0
019946,33.3,904,0
020006,11,1445,0
020007,22,975,0
020008,25,602,0
020038,41.27,5643,0
020066,33,14,0
020067,33,93,0
020068,33,167,0
020069,33,62,0
020075,18.36,77,0
020076,20.9,17,0
020097,25.5,2100,0
020098,29.5,11221,3
020186,34.32,6500,0
020241,34,2644,0
020334,16,66,0
020350,9.48,202,0
020351,9.92,407,0
020352,10.36,370,0
020353,10.8,93,0
020355,9.92,342,0
020356,10.36,251,0
020359,4.05,218,0
020360,5.51,49,0
020362,15.2,327,0
020367,11,41,0
020380,50.5,329,0
020381,50.5,500,0
020390,34,2254,0
020441,40.3,1288,4
020448,11,224,0
020472,22,5082,0
020478,21,204,0
020480,35.4,664,1
020483,14,24,0
020484,42,94,0
020487,8,876,0
020510,40.43,2408,0
020511,35.88,474,3
020512,35.94,697,0
020513,9.02,842,0
020525,23,17,0
020599,7.18,167,0
020600,4.96,795,0
020601,4.96,121,0
020603,17.5,260,0
020649,12,1114,0
020697,29.04,128,0
020707,12,47,0
020735,12,1318,0
020751,31.36,4743,0
020757,19.25,1475,0
020776,74,30,0
020777,6,80,0
020778,11,62,0
020779,11.5,439,0
020780,12.25,414,0
020781,11.5,35,0
020782,11,16,0
020783,11,95,0
020786,32,74,0
020904,8.5,31,0
020905,32,194,0
020906,7.75,957,0
020907,9.25,13396,0
020908,25.8,684,0
020910,12.7,1524,0
020912,16,4239,0
020914,11,1800,0
020915,26,1071,0
020949,7,898,0
020967,16.62,453,0
020968,12.71,164,0
020977,18.65,1294,0
020995,34,285,0
020996,35.6,59,0
020999,9.7,314,0
021000,3.8,210,0
021001,6,87,0
021002,6,5,0
021009,9.25,393,0
021013,15.5,216,0
021014,19.43,146,0
021016,20,739,0
021047,27,124,0
021063,12.61,139,0
021071,33,312,0
021104,2.9,198,0
021130,31,2483,0
021152,25.25,306,0
021159,12.25,375,0
021189,26.2,108,0
021204,32.84,69,0
021232,20.75,567,3
021254,22,451,0
021257,38.7,199,0
021261,8.04,55,0
021263,0.28,122,0
021264,0.28,165,0
021269,16,34,0
021270,5.7,140,0
021271,6.75,27,0
021272,15,34,0
021273,10,156,0
021274,2.5,17,0
021275,4,20,0
021278,13,184,0
021337,31,2465,0
021353,19,98,0
021577,10.6,78,0
021588,34.38,1123,0
021589,49.07,1189,0
021592,14.8,1052,0
021646,5.5,12,0
021681,6.51,260,0
021682,9.35,153,0
021683,4,12,0
021684,8.8,130,0
021685,9.83,5015,0
021686,12.23,662,0
021687,7.26,5670,0
021688,17.83,2144,0
021697,36,53,0
021701,17,1267,1
021704,50.3,1726,2
021714,21,10212,0
021715,38.6,216,0
021833,36,401,0
021836,25.27,1318,0
021839,51,115,0
021840,39.5,2453,0
021842,10.38,1422,0
021879,41,177,0
021909,5.68,1304,1
021910,11.1,470,0
021911,11.5,324,0
021912,11,409,0
021915,8.99,1667,0
021916,10,0,0
021917,18.76,88,0
021923,6.87,161,0
021931,46.7,676,0
021934,17.56,1341,0
021955,7.77,1038,0
021956,4.08,121,0
021988,32,436,0
021998,39,958,0
021999,7,684,0
022023,38.58,13130,0
022041,11.79,874,0
022042,10.8,216,0
022043,6.62,405,0
022044,31,2137,0
022045,13,3922,0
022112,32,215,0
022167,12.6,11,0
022168,12.6,3,0
022208,36.58,1016,0
022209,35.25,1376,1
022210,38.38,320,0
022211,38.19,1418,0
022212,10.5,360,0
022213,35.83,502,0
022302,17,2271,0
022303,3,687,0
022334,13.3,213,0
022397,24.3,30,0
022407,16,646,0
022415,17,700,0
022454,1,0,0
022455,46,684,0
022460,60,328,0
022560,11.03,12,0
022561,8,333,1
022577,26.2,19714,0
022681,43,357,3
022731,30,40,0
022751,29,7,0
022754,29,6,0
022768,16,150,0
022772,1,0,0
022773,28,123,0
022774,1,0,0
022806,4.3,71,0
022847,37.39,1266,0
022860,11.5,269,0
022861,4,192,0
022862,2,172,0
022863,6.4,69,0
022952,40.4,907,0
023011,27.75,23,0
023017,25.95,1035,0
023028,2.01,432,0
023063,31.5,170,0
023132,41.75,11433,0
023229,25,2269,0
023233,15.02,806,0
023234,21.1,344,0
023302,11.15,221,0
023312,40,30894,3
023313,23.95,4,0
023351,9.6,3427,0
023472,15.1,4,0
023517,23,148,0
023533,21,459,2
023535,1.92,282,1
023540,23.04,892,0
023572,17.45,999,0
023575,23.5,6208,0
023581,13.69,66,0
023594,20.75,1730,0
023621,6,692,0
023624,3.32,226,0
023638,18.5,313,0
023639,21.74,1517,0
023650,29.49,230,1
023651,33.6,551,0
023652,37,538,0
023653,31,128,0
023654,24.5,565,0
023655,32.5,643,0
023656,28,230,0
023667,31.7,166,0
023668,33.9,2768,6
023669,44.36,493,0
023670,26.81,9,0
023671,55.56,2607,0
023672,44.01,1215,1
023673,55.53,1148,5
023674,26.64,1,0
023676,26,860,1
023677,5.56,28,0
023678,53.6,847,0
023679,58.1,1255,0
023680,11.29,32,0
023681,37,57,0
023682,39.9,407,0
023683,14.08,31,0
023684,27.2,261,0
023685,22.7,75,1
023686,37,314,0
023687,9.46,43,0
023689,25.34,635,0
023692,3.1,37,0
023693,9.97,229,0
023694,14.11,25,0
023695,5.47,179,0
023696,3.2,9,0
023697,12.58,479,0
023698,9.91,195,0
023699,22.6,15,0
023708,19.1,2472,0
023714,30,2505,5
023723,4.28,8,0
023767,6.17,317,0
023776,9.91,26,0
023821,15.67,669,0
023875,48,6,0
023884,1.1,0,0
023885,29.5,378,0
023886,1.04,0,0
024001,32,225,0
024021,18.25,457,0
024049,17.7,87,0
024050,17.4,48,0
024051,17.9,73,0
024052,17.9,33,0
024053,25,29,0
024070,33.55,145,1
024071,29.5,150,4
024078,10,69,0
024086,24.1,200,3
024090,7.3,11,0
024091,1.35,637,0
024092,29.8,281,0
024093,9.39,80,0
024148,10,0,0
024149,41.5,1358,1
024150,41.5,4218,1
024151,23,166,0
024155,18.25,3141,0
024165,25,131,0
024174,41.22,1404,0
024212,19,157,0
024213,13,10,0
024219,19.2,41,0
024268,10,1510,1
024288,4.5,8139,4
024289,43,274,0
024358,2.62,12,0
024359,31.87,332,0
024360,17.75,1211,0
024454,1,223,0
024472,34.75,629,0
024495,43,142,0
024500,9.6,5,0
024510,42.4,60,0
024511,11,3022,0
024512,31.42,14,0
024519,33.4,685,0
024527,10,1117,0
024555,16.75,88,0
024568,24.15,81,1
024570,9.3,2366,0
024571,6.4,25,0
024573,24.8,38,0
024574,8.99,2197,0
024577,17.13,8,0
024578,21,19,0
024579,11,3353,0
024580,27.86,0,0
024582,33,2,0
024583,9.25,3808,0
024584,24.54,373,0
024586,6.5,284,0
024587,12.98,15,0
024636,16.1,33,0
024638,12,107,0
024651,7.72,10,0
024665,33.5,3370,0
024678,27.79,1130,1
024686,12.84,5295,0
024725,18.57,974,2
024726,7.91,497,0
024771,30,2,0
024789,17.75,45,0
024803,21,587,0
024804,25.72,510,0
024861,34,1260,0
024878,34,13151,2
024895,24,158,0
024917,0.25,1,0
024938,10.38,25,0
024942,22.2,1,0
024946,21.93,4,0
024947,35.02,235,0
024953,33.5,30,0
024958,31.5,1826,1
024975,7.5,262,0
024987,44.4,563,0
024997,12.64,2456,0
024998,12.93,5284,0
025031,39.05,2315,2
025032,42,592,1
025033,19.76,2108,0
025036,6,38,0
025047,10.56,15,0
025055,15,328,0
025056,12.5,74,0
025057,12.5,260,0
025059,39.55,514,0
025093,3.37,973,0
025137,27.72,604,0
025156,44,1047,0
025161,35.42,550,0
025181,20.1,622,0
025182,21.33,869,0
025240,33.33,56,0
025243,19,965,0
025263,22.68,1105,0
025264,10.5,128,0
025328,31.8,411,0
025407,15,5,0
025408,37.1,56,0
025429,10.1,150,0
025497,31,4919,0
025539,23.7,1,0
025556,27.5,5203,2
025557,16,330,0
025564,47.76,100,0
025567,21.52,205,0
025568,17.13,1,0
025569,17.31,18,0
025570,21.39,43,0
025571,17.55,13,0
025585,31,435,0
025597,22,1416,1
025602,9.22,11,0
025624,16,11,0
025626,8.8,45,0
025627,5.51,32,0
025628,5.5,444,0
025629,4.84,8,0
025630,26,61,0
025691,12.5,80,0
025692,9.3,104,0
025769,21,225,0
025770,21,5,0
025771,29,121,0
025830,28,2451,20
025850,13.13,1364,1
025876,9.3,120,0
025885,41,978,0
025909,22,1805,0
025969,13.13,1289,0
025970,8.59,488,0
025972,29,118,0
026025,20,7,0
026031,25,195,0
026032,22.3,40,0
026044,18.5,8,0
026083,38.6,8542,0
026085,22,742,0
026094,29.48,360,0
026100,13.61,324,0
026127,13.49,210,0
026137,41.31,993,0
026142,33.13,1150,0
026144,51,6494,0
026154,42,535,0
026172,36,1,0
026173,36,54,0
026174,36,18,0
026175,45,22,0
026176,15,108,0
026177,36,45,0
026178,36,12,0
026179,35,49,0
026180,36,86,0
026181,17.2,6,0
026182,13,32,0
026183,19,40,0
026184,17,36,0
026185,35.8,57,0
026186,36,86,0
026187,36,17,0
026188,36,29,0
026189,41.3,2440,0
026223,34,2743,1
026224,16.5,1757,0
026234,17.55,25,0
026246,17.61,689,0
026250,38.65,360,0
026251,8.5,734,0
026261,24.15,9976,0
026264,9.37,277,0
026267,8.04,264,0
026268,10.91,154,0
026269,9.81,133,0
026270,9.92,349,0
026271,10.03,295,0
026272,48.6,764,0
026280,7,176,0
026281,31,97,0
026285,30.7,163,0
026292,35,261,0
026302,21,170,0
026303,21,34,0
026304,11,858,1
026327,23,85,0
026329,7.8,13,0
026349,23.5,104,0
026350,33.8,36,0
026351,9.7,40,0
026352,35,142,0
026388,5.4,26,0
026412,13.43,128,0
026431,24.54,6,0
026432,21,11,0
026468,19.44,2037,0
026484,8,42,0
026485,13.05,49,0
026486,24,24,0
026492,1.02,0,0
026493,60.65,278,0
026506,1.06,0,0
026507,48.76,258,0
026529,28,537,0
026530,25,2839,0
026543,41.75,104,0
026545,33,11,0
026546,17,38,0
026547,33,39,0
026548,4.45,34,0
026549,26,22,0
026550,26,54,0
026586,1.8,95,0
026594,17,70,0
026602,11.91,26,0
026628,11,17,0
026708,12.5,69,0
026711,17.39,85,0
026786,31.5,26,0
026795,31.68,683,0
026842,22.68,125,0
026847,32,954,0
026852,12,19,0
026891,26,21,0
026892,16,14,0
026893,16,14,0
026897,4.96,6,0
026949,21,116,0
026950,21,34,0
027168,34,6518,1
027246,29.6,28,0
027247,7,19,0
027289,23.68,16,0
027291,31.25,109,0
027292,29.25,1035,0
027293,28.25,1047,0
027313,34.24,18,0
027315,17.41,5,0
027330,42,1902,0
027376,20,1,0
027553,28.6,115,0
027554,8.7,42,0
027598,8.16,18,0
027796,21.75,60,0
048026,12.8,2907,5
090051,34.6,99,1
091004,38,20,0
091640,48.05,43,0
092125,26.98,307,2
092138,33.34,333,1
092149,16.76,48,0
092160,17.1,177,0
093100,10.8,46,0
094212,33.2,440,2
094217,33.2,323,0
099310,13.75,67,0
099422,21.87,746,1
099962,14.52,76,0
100129,31,7494,0
106789,11,104,0
107679,10.73,75,0
113800,31.82,1124,0
131400,11.4,1698,1
140004,11,18,0
140683,7.5,161,0
140690,11,214,0
140783,16.25,138,0
147460,31.25,323,0
